country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,,,,,,,,,,,,22.5,,,,,,,,
Germany,,,,,,,,,0.58,0.629,0.676,0.717,0.772,0.73,0.771,0.795,19.1,19.8,20.7,21.2
Luxembourg,,,,,,,,,1.07,0.639,0.807,2.23,1.31,0.87,0.745,1.13,29.9,28.6,32.7,32.5
France,,,,,,,,,,,,,,,,,15.7,17.1,16.9,17.5
Moldova,,,11.2,11.7,12.3,13.3,13.8,13.7,16.2,15.6,16.4,17.2,18.1,18.9,20.1,20.3,21.8,21.2,20.5,20.5
Canada,14.5,15.5,16.5,16.9,17.5,18.6,18.9,19.9,20.8,21.3,22.0,22.4,23.5,24.1,25.0,25.8,26.2,27.3,26.7,28.9
UK,,,,,,,,,0.61,0.676,0.619,0.653,0.723,0.695,0.726,28.6,29.8,25.0,26.2,34.7
Indonesia,,,,,,,,,,,,,,4.34,5.0,5.54,7.68,8.07,8.48,7.8
Georgia,,,,,,,,,,,,0.0,0.0,31.6,29.8,33.4,30.9,35.2,33.2,34.4
Russia,,,,,,,,,,,,,61.0,,,,,,,
USA,22.8,23.5,23.9,24.4,25.2,25.9,26.2,26.7,27.3,28.2,28.7,29.1,29.6,30.2,30.8,31.4,32.0,32.7,33.7,32.6
El Salvador,,,,,,,,,,,,,,,,5.55,,,6.51,6.12
Costa Rica,,,,9.81,9.87,10.1,10.5,11.4,12.6,12.5,,,,,,,22.7,21.9,21.4,
Panama,,,,,,20.3,,,,,23.6,,18.7,,,,,,,
